temp_C,source,well,n_points,mu_max,t_at_mu_max_hr
32,PROCESSED,A2,138,0.4360947576560551,7.855833333
32,PROCESSED,A3,138,0.44113072059039726,7.855833333
32,PROCESSED,A4,138,0.45289320743960815,8.729444444
32,PROCESSED,A5,138,0.43461355843328264,8.554722222
32,PROCESSED,A6,138,0.44818157935112657,7.681111111
32,PROCESSED,B1,138,0.4411307218473288,7.681111111
32,PROCESSED,B2,138,0.4490578327840692,7.681111111
32,PROCESSED,B3,138,0.46053205187785606,8.38
32,PROCESSED,B4,138,0.4730640198619199,8.729444444
32,PROCESSED,B5,138,0.468744495630967,7.681111111
32,PROCESSED,B6,138,0.466208002538405,7.681111111
32,PROCESSED,C1,138,0.4385256372629953,7.681111111
32,PROCESSED,C2,138,0.44811586620109667,7.681111111
32,PROCESSED,C3,138,0.45571662702514015,8.904166667
32,PROCESSED,C4,138,0.47552849321177404,9.078888889
32,PROCESSED,C5,138,0.47968874691758767,8.904166667
32,PROCESSED,C6,138,0.47567359424269506,7.681111111
32,PROCESSED,D1,138,0.4470494110683799,7.681111111
32,PROCESSED,D2,138,0.473806175124317,8.030555556
32,PROCESSED,D3,138,0.46159735319546935,7.855833333
32,PROCESSED,D4,138,0.4756735942426926,8.38
32,PROCESSED,D5,138,0.46289269021217605,7.855833333
32,PROCESSED,D6,138,0.48758155662074176,7.681111111
32,PROCESSED,E1,138,0.4259981977888069,7.681111111
32,PROCESSED,E2,138,0.4673233564734218,7.855833333
32,PROCESSED,E3,138,0.45651616330645695,8.205277778
32,PROCESSED,E4,138,0.4450970221610838,7.681111111
32,PROCESSED,E5,138,0.4689425498367533,7.681111111
32,PROCESSED,E6,138,0.47085785517526346,7.681111111
32,PROCESSED,E7,138,0.4613942336174408,8.030555556
32,PROCESSED,E8,138,0.46324887951445093,7.855833333
32,PROCESSED,F1,138,0.43796968504106637,7.855833333
32,PROCESSED,F2,138,0.43269586399386506,7.855833333
32,PROCESSED,F3,138,0.4500595427723094,7.855833333
32,PROCESSED,F4,138,0.4591982437818073,8.38
32,PROCESSED,F5,138,0.46149867277303136,8.030555556
32,PROCESSED,F6,138,0.46673579926320463,7.681111111
32,PROCESSED,F7,138,0.45868114479180555,7.855833333
32,PROCESSED,F8,138,0.4586811448882915,7.855833333
33,PROCESSED,A1,138,0.40829027401199003,6.632777778
33,PROCESSED,A2,138,0.4255143926803997,6.632777778
33,PROCESSED,A3,138,0.432311962269602,6.632777778
33,PROCESSED,A4,138,0.43222967200149753,6.632777778
33,PROCESSED,A5,138,0.4538211427254052,6.632777778
33,PROCESSED,A6,138,0.44698164438904164,6.632777778
33,PROCESSED,B1,138,0.4181551502213888,7.506388889
33,PROCESSED,B2,138,0.46529030154658957,8.205277778
33,PROCESSED,B3,138,0.45172149233542835,6.632777778
33,PROCESSED,B4,138,0.44915789462335,6.8075
33,PROCESSED,B5,138,0.449510479572388,6.632777778
33,PROCESSED,B6,138,0.4612256256132603,6.632777778
33,PROCESSED,C1,138,0.44662515915429124,6.982222222
33,PROCESSED,C2,138,0.4623642340380604,6.982222222
33,PROCESSED,C3,138,0.45246414232587184,7.331666667
33,PROCESSED,C4,138,0.46087274896954744,6.8075
33,PROCESSED,C5,138,0.4604176370999099,6.8075
33,PROCESSED,C6,138,0.45053488810964415,6.632777778
33,PROCESSED,D1,138,0.43169554937573806,6.632777778
33,PROCESSED,D2,138,0.4713023329987225,6.982222222
33,PROCESSED,D3,138,0.4576474767074391,6.458055556
33,PROCESSED,D4,138,0.4777412666122334,6.632777778
33,PROCESSED,D5,138,0.4875260452133009,6.632777778
33,PROCESSED,D6,138,0.49422030791038296,6.632777778
33,PROCESSED,E1,138,0.4386669376070934,7.506388889
33,PROCESSED,E2,138,0.4632972557489382,6.632777778
33,PROCESSED,E3,138,0.4633431377799997,6.632777778
33,PROCESSED,E4,138,0.4655063821605949,6.632777778
33,PROCESSED,E5,138,0.4597893728196084,6.632777778
33,PROCESSED,E6,138,0.47164402926176807,6.632777778
33,PROCESSED,E7,138,0.46507801823220507,6.632777778
33,PROCESSED,E8,138,0.46059576026568005,6.8075
33,PROCESSED,F1,138,0.4276754555965411,6.8075
33,PROCESSED,F2,138,0.419940091594876,6.632777778
33,PROCESSED,F4,138,0.4666474777871835,6.632777778
33,PROCESSED,F5,138,0.43375524039797864,6.8075
33,PROCESSED,F6,138,0.45031752016496884,6.632777778
33,PROCESSED,F7,138,0.4611251089891777,7.156944444
33,PROCESSED,F8,138,0.45181922130170415,6.8075
34,PROCESSED,A1,78,0.4476538275171802,6.632777778
34,PROCESSED,A2,78,0.4889734720239728,6.632777778
34,PROCESSED,A3,78,0.491277566527082,6.632777778
34,PROCESSED,A4,78,0.5080436749361538,7.156944444
34,PROCESSED,A5,78,0.5024502347190396,6.632777778
34,PROCESSED,A6,78,0.4725106585153531,6.458055556
34,PROCESSED,B1,78,0.47471332990898696,6.458055556
34,PROCESSED,B2,78,0.5093317643229042,6.632777778
34,PROCESSED,B3,78,0.5030552293764318,6.8075
34,PROCESSED,B5,78,0.5111955112531307,6.982222222
34,PROCESSED,B6,78,0.4869514891279063,6.458055556
34,PROCESSED,C1,78,0.5048274567680254,6.458055556
34,PROCESSED,C2,78,0.4900381548094198,6.458055556
34,PROCESSED,C3,78,0.5032005966300935,6.632777778
34,PROCESSED,C4,78,0.5043241091757038,6.632777778
34,PROCESSED,C5,78,0.5039411493165582,6.632777778
34,PROCESSED,C6,78,0.51398113068523,6.458055556
34,PROCESSED,D1,78,0.4907565633532236,6.458055556
34,PROCESSED,D2,78,0.5063199921961786,6.632777778
34,PROCESSED,D3,78,0.5240649966971545,6.632777778
34,PROCESSED,D4,78,0.5275930454448856,6.632777778
34,PROCESSED,D5,78,0.5163742870680178,6.632777778
34,PROCESSED,D6,78,0.5050327987675822,6.458055556
34,PROCESSED,E1,78,0.4791603196537795,6.458055556
34,PROCESSED,E2,78,0.513353739022532,7.156944444
34,PROCESSED,E3,78,0.5004527446407653,6.632777778
34,PROCESSED,E4,78,0.49749518925813074,6.632777778
34,PROCESSED,E5,78,0.5271441295545927,6.8075
34,PROCESSED,E6,78,0.4956275181018226,6.458055556
34,PROCESSED,E7,78,0.522536443360535,6.632777778
34,PROCESSED,E8,78,0.5019084522010877,6.632777778
34,PROCESSED,F1,78,0.46263942695890137,6.458055556
34,PROCESSED,F2,78,0.4922564267831584,6.632777778
34,PROCESSED,F3,78,0.483843234445398,6.632777778
34,PROCESSED,F4,78,0.4981670373417162,6.632777778
34,PROCESSED,F5,78,0.5048921674596465,6.632777778
34,PROCESSED,F6,78,0.49913093367893335,6.632777778
34,PROCESSED,F7,78,0.5201486436225706,6.632777778
